3000 từ thông dụng
abandon	từ bỏ
abandoned	bị bỏ rơi
ability	có khả năng
able	có thể
about	trong khoảng
above	ở trên
abroad	ở nước ngoài
absence	vắng mặt
absent	vắng mặt
absolute	tuyệt đối
absolutely	chắc chắn rồi
absorb	hấp thụ
abuse	sự lạm dụng
academic	học tập
accent	giọng
accept	Chấp nhận
acceptable	có thể chấp nhận
access	truy cập
accident	Tai nạn
accidental	tình cờ
accidentally	vô tình
accommodation	chỗ ở
accompany	đi cùng
account	tài khoản
accurate	chính xác
accurately	chính xác
accuse	cáo buộc
achieve	Hoàn thành
achievement	thành tích
acid	axit
acknowledge	công nhận
acquire	có được, thu được
across	băng qua
act	hành động
action	hoạt động
active	hoạt động
actively	chủ động
activity	Hoạt động
actor	diễn viên
actress	nữ diễn viên
actual	thực tế
actually	thực ra
ad	quảng cáo
adapt	phỏng theo
add	thêm vào
addition	thêm vào
additional	bổ sung
address	địa chỉ nhà
adequate	đầy đủ
adequately	đầy đủ
adjust	điều chỉnh
admiration	sự khâm phục
admire	ngưỡng mộ
admit	thừa nhận
adopt	chấp nhận
adult	người lớn
advance	nâng cao
advanced	nâng cao
advantage	lợi thế
adventure	cuộc phiêu lưu
advert	Quảng cáo
advertise	Quảng cáo
advertisement	Quảng cáo
advertising	quảng cáo
advice	khuyên bảo
advise	khuyên nhủ
affair	chuyện tình
affect	có ảnh hưởng đến
affection	tình cảm
afford	mua được
afraid	sợ
after	sau
afternoon	buổi chiều
afterwards	sau đó
again	lần nữa
against	chống lại
age	tuổi tác
aged	tuổi
agency	đại lý
agent	đặc vụ
aggressive	xâm lược
ago	trước đây
agree	đồng ý
agreement	thỏa thuận
ahead	phía trước
aid	viện trợ
aim	mục đích
air	không khí
aircraft	phi cơ
airport	sân bay
alarm	báo thức
alarmed	đáng báo động
alarming	đáng báo động
alcohol	rượu
alcoholic	có cồn
alive	sống sót
all	tất cả các
allied	đồng minh
allow	cho phép
ally	đồng minh
almost	hầu hết
alone	một mình
along	dọc theo
alongside	bên cạnh
aloud	to tiếng
alphabet	bảng chữ cái
alphabetical	chữ cái
alphabetically	theo thứ tự abc
already	đã
also	cũng thế
alter	thay đổi
alternative	thay thế
alternatively	cách khác
although	mặc dầu
altogether	hoàn toàn
always	luôn luôn
amaze	ngạc nhiên
amazed	ngạc nhiên
amazing	kinh ngạc
ambition	tham vọng
ambulance	xe cứu thương
among	trong số
amount	số tiền
amuse	thích thú
amused	thích thú
amusing	vui
analyse	phân tích
analysis	phân tích
ancient	xưa
and	và
anger	Sự phẫn nộ
angle	góc
angrily	giận dữ
angry	bực bội
animal	thú vật
ankle	mắt cá
anniversary	ngày kỷ niệm
announce	thông báo
annoy	làm phiền
annoyed	khó chịu
annoying	làm phiền
annual	hàng năm
annually	hàng năm
another	khác
answer	câu trả lời
anticipate	dự đoán trước
anxiety	sự lo ngại
anxious	lo lắng
anxiously	lo lắng
any	bất kì
anybody	bất cứ ai
anyone	bất kỳ ai
anything	bất cứ điều gì
anyway	dù sao
anywhere	bất cứ đâu
apart	ngoài
apartment	căn hộ, chung cư
apologize	xin lỗi
apparent	rõ ràng
apparently	hình như
appeal	kháng nghị
appear	xuất hiện
appearance	xuất hiện
apple	táo
application	ứng dụng
apply	ứng dụng
appoint	bổ nhiệm
appointment	cuộc hẹn
appreciate	đánh giá
approach	tiếp cận
appropriate	thích hợp
approval	sự chấp thuận
approve	phê duyệt
approving	phê duyệt
approximate	gần đúng
approximately	xấp xỉ
april	tháng tư
area	khu vực
argue	tranh luận
argument	tranh luận
arise	nảy sinh
arm	cánh tay
armed	vũ trang
arms	cánh tay
army	quân đội
around	xung quanh
arrange	sắp xếp
arrangement	sắp xếp
arrest	bắt giữ
arrival	đến
arrive	đến
arrow	mũi tên
art	nghệ thuật
article	bài báo
artificial	nhân tạo
artificially	giả tạo
artist	nghệ sĩ
artistic	nghệ thuật
artistically	nghệ thuật
as	như
ashamed	hổ thẹn
aside	qua một bên
ask	hỏi
asleep	ngủ
aspect	khía cạnh
assist	hỗ trợ
assistance	hỗ trợ
assistant	phụ tá
associate	liên kết
associated	liên kết
association	sự kết hợp
assume	giả định
assure	cam đoan
at	tại
atmosphere	không khí
atom	nguyên tử
attach	đính kèm
attached	đính kèm
attack	tấn công
attempt	cố gắng
attempted	đã cố gắng
attend	tham gia
attention	chú ý
attitude	Thái độ
attorney	luật sư
attract	thu hút
attraction	sức hút
attractive	hấp dẫn
audience	thính giả
August	tháng Tám
aunt	cô
author	tác giả
authority	thẩm quyền
automatic	tự động
automatically	tự động
autumn	mùa thu
available	có sẵn
average	Trung bình cộng
avoid	tránh
awake	thức tỉnh
award	giải thưởng
aware	ý thức
away	xa
awful	kinh khủng
awfully	khủng khiếp
awkward	lúng túng
awkwardly	lúng túng
baby	đứa bé
back	trở lại
background	lý lịch
backward	lạc hậu
backwards	ngược
bacteria	vi khuẩn
bad	xấu
