100 từ vựng tiếng Anh
satisfaction	sự thỏa mãn
used	đã sử dụng
sufficient	đủ
neck	cái cổ
aggressive	xâm lược
congress	Hội nghị
plenty	nhiều
awkwardly	lúng túng
whether	liệu
feeling	cảm giác
old	cũ
whole	toàn thể
litre	lít
ultimately	cuối cùng
political	chính trị
valid	có hiệu lực
legal	hợp pháp
shot	bắn
rented	đã thuê
appeal	kháng nghị
pick	chọn
household	hộ gia đình
rank	cấp
expected	kỳ vọng
back	trở lại
suit	bộ đồ
moreover	hơn thế nữa
abuse	sự lạm dụng
income	thu nhập
fridge	tủ lạnh
burn	đốt cháy
pepper	tiêu
domestic	trong nước
grab	vồ lấy
proportion	tỷ lệ
writer	nhà văn
dinner	bữa tối
delighted	vui mừng
text	bản văn
beard	râu
colour	màu
pale	nhợt nhạt
onion	củ hành
wish	muốn
background	lý lịch
street	đường phố
bridge	cầu
tropical	nhiệt đới
packaging	bao bì
communicate	giao tiếp
organ	đàn organ
never	không bao giờ
remains	còn lại
pet	vật nuôi
smoothly	thông suốt
actively	chủ động
provide	cung cấp
remote	xa
upsetting	làm bối rối
adequately	đầy đủ
enjoy	thưởng thức
finished	đã kết thúc
timetable	thời gian biểu
assume	giả định
frequent	thường xuyên
sugar	đường
plate	đĩa
trend	khuynh hướng
furniture	đồ nội thất
museum	viện bảo tàng
money	tiền bạc
curl	curl
nervous	lo lắng
writing	viết
universe	vũ trụ
trip	chuyến đi
centre	trung tâm
federal	liên bang
trick	lừa
fold	gập lại
racing	cuộc đua
apple	táo
knife	dao
provided	được cung cấp
attention	chú ý
banana	trái chuối
indoors	trong nhà
but	nhưng
file	tập tin
design	thiết kế
enter	đi vào
dramatically	đáng kể
cottage	nhà nhỏ
defeat	đánh bại
his	của anh ấy
youth	thiếu niên
basic	căn bản
cease	ngưng
nearly	Gần
elderly	người già
